This content calendar is a master view of all AI & Cortex Code activities ,,,,,,,,,,,,,,,,
DRI: Krista Rockson ,,,,,,,,,,,,,,,,
"The goal is for this to be as comprehensive as possible, YES -- DO ADD YOUR ACTIVITIES IF YOU WANT VISIBILITY",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Date,Campaign,Type,Topic,Aud,Status,DRI,Brief,Key Topics,YouTube Title,YouTube Description,Pre-Record Action,CTA,Action Due,Guest,Guest Status,Notes
2026-03-17,,SVAI Hub,,,Not started,Krista Rockson,,,,,,,,,,
2026-03-18,Agents,LinkedIn Live,,,Not started,James Cha-Earley,,,What Customers Actually Need from Cortex Agents | Send It Ep. 4,"What do customers actually ask for when they want AI? We talk with [Guest Name] from the field about real customer requirements, common deployment patterns, the gaps between expectation and reality, and what separates successful external AI rollouts from the rest. Part 4 of the Send It series.",Confirm guest & prep questions,,Feb 10,Solutions Eng or Field CTO or FDE,,
2026-03-25,Agents,LinkedIn Live,,,Not started,James Cha-Earley,,,When One Agent Isn't Enough: Building Multi-Agent Systems | Send It Ep. 6,"Sometimes one agent can't do it all. We sit down with [Guest Name] to talk about multi-agent architectures: when you need them, how to orchestrate across agents, routing strategies, and lessons from building a real multi-agent system. Part 6 of the Send It series.",Confirm guest & prep questions,,Mar 28,,,
2026-04-01,Agents,LinkedIn Live,Monitoring & Evals for AI,AIl,Not started,James Cha-Earley,,"Monitoring agents in production, evaluation frameworks , quality metrics",How to Know If Your AI Is Actually Working | Send It Ep. 5,"Your agent is live. Customers are using it. But is it working? We sit down with [Guest Name] to talk monitoring and evals for AI: what metrics matter, how to catch problems before customers do, and building evaluation frameworks that scale. Part 5 of the Send It series.",Confirm guest & prep questions,Quickstart,Mar 14,Josh or Customer or Tyler's Data set?,,
2026-04-08,,LinkedIn Live,Field Perspective on External AI,,Not started,James Cha-Earley,,"Customer requirements, common asks, deployment patterns, what customers get wrong, success factors",,,,,,,,
2026-04-15,,LinkedIn Live,Multi-Agent Architectures,,Not started,James Cha-Earley,,"When one agent isn't enough, orchestrating multiple agents, routing strategies, real-world multi-agent patterns",,,,,,,,
2026-04-16,,SVAI Hub,,,Not started,,,,,,,,,,,
2026-04-22,,LinkedIn Live,,,Not started,,,,,,,,,,,
2026-04-29,,LinkedIn Live,,,Not started,,,,,,,,,,,
,Coco,Video,Introduction to Data Analysis,All,Not started,Tyler Simons,,,,,,,,,,
,Coco,Video,Internal app development with Streamlit,Data teams,Not started,Chanin Nantasenamat,,,,,,,,,,
,Coco,Video,DBT PROJECTS PLACEHOLDER,DE,Not started,Vino Duraisamy,,,,,,,,,,
,Coco,Video,Managing admin functions (e.g. cost/RBAC),Admins,Not started,Dash Desai,,,,,,,,,,
