Date,Title,Time Published,Author,Submission Date,Status,Persona,WG
2026-01-19,This Took 5 Minutes to Set Up - and Now Business Users Query Snowflake Without SQL,1899-12-30,Yarden Sheinson,2026-01-12,Scheduled,Internal,
2026-01-19,Connecting Any Language To Snowflake,1899-12-30,Kris Jenkins,2026-01-12,Scheduled,Internal,
2026-01-19,Mastering Snowflake Backups: A Complete Guide - Part 2,1899-12-30,Rajiv Gupta,2026-01-13,Scheduled,DSH,
2026-01-20,Snowflake Interactive: Powering Low-Latency Analytics on a Unified Data + AI Platform,1899-12-30,Karan Asher,2026-01-16,Scheduled,Internal,
2026-01-20,Read External Data Sources Directly in Snowpark Python with the New JDBC API (Public Preview),1899-12-30,Qinyi Ding,2026-01-16,Scheduled,Internal,
2026-01-20,Run Existing Spark Code Natively on Snowflake with Snowpark Connect,1899-12-30,Ganesh Mahadevan,2026-01-13,Scheduled,Internal,
2026-01-21,Processing Healthcare Price Transparency Files with Snowflake Openflow,1899-12-30,Aaron Wasserman,2026-01-13,Scheduled,Internal,
2026-01-21,Snowflake Interactive Warehouses,1899-12-30,Jon Roberts,2026-01-13,Scheduled,Internal,
2026-01-21,Best Practices for Adopting the Snowflake Internal Marketplace,1899-12-30,Matthias Nicola,2026-01-14,Scheduled,Internal,
2026-01-22,Ontology on Snowflake: Part 1 - Overview and Data Model,1899-12-30,Tianxia Jia,2026-01-14,Scheduled,Internal,
2026-01-22,Snowflake: Rolling window DISTINCT count: how to make this happen,1899-12-30,Radovan Baco,2026-01-14,Scheduled,Squad,
2026-01-22,Agents That Drive Business Outcomes with Snowflake,1899-12-30,Vikas Malik,2026-01-13,Scheduled,Internal,
2026-01-23,Ontology on Snowflake: Part 2 - Semantic Models,1899-12-30,Tianxia Jia,2026-01-14,Scheduled,Internal,
2026-01-23,Understanding Technical Security Controls: The Building Blocks of Snowflake Database Security,1899-12-30,Vedprakash,2026-01-15,Scheduled,External,
2026-01-26,Ontology on Snowflake: Part 3 - AI-Powered Intelligence,1899-12-30,Tianxia Jia,2026-01-15,Scheduled,Internal,
2026-01-26,Beyond the Internal Tables: dbt Projects + Iceberg Tables on Snowflake,1899-12-30,Victor Liaw,2026-01-16,Scheduled,Internal,
2026-01-27,How To Create Custom Processors for Snowflake OpenFlow,1899-12-30,Augusto Rosa,2026-01-17,Scheduled,DSH,
2026-01-27,❄️ SNOWPRO SPECIALTY: GEN AI CERTIFICATION Tutorial (Part 4 - Security),1899-12-30,Eylon Steiner,2026-01-19,Scheduled,DSH,
2026-01-28,Passwords to PATs: A Sensible Upgrade,1899-12-30,Jedidiah Rajbhushan (JD),2026-01-16,Scheduled,Internal,
2026-01-28,Reserved for Ami,1899-12-30,Amilee,,,Internal,
2026-01-28,Smart Ways to Optimize Egress Costs in Snowflake,1899-12-30,Rajiv Gupta,2026-01-19,Scheduled,DSH,
2026-01-29,Cost-effective Performance with Snowflake Interactive Warehouses,1899-12-30,Tim Sanders,2026-01-21,Scheduled,Internal,
2026-01-29,Implementing a Scalable Data Retention and Purging Framework on Snowflake,1899-12-30,Rahul Agrawal,2026-01-21,Scheduled,Internal,
2026-01-30,Scaling Trustworthy ML with Snowflake: How LendingTree Turns Predictions into Business Impact,1899-12-30,Drsamirashikh,2026-01-22,Scheduled,Partner,
2026-01-30,"Should We Get Rid of BI Reports, In Pursuit of Conversational Analytics?",1899-12-30,CitiusTech,,Scheduled,Partner,
2026-01-30,Hub-and-Spoke Architecture for Sensitive Data Collaboration,1899-12-30,Jwala Vedantam,2026-01-22,Scheduled,Internal,
2026-01-31,The Comprehensive Guide to MaxMind GeoIP2 in Snowflake: From Zero to Production,1899-12-30,Sushma M,2026-01-06,Scheduled,External,
2026-02-02,Snowflake Semantic Views: What I Learned Building 24 ACCOUNT_USAGE Models in Production,1899-12-30,Augusto Rosa,2026-01-24,Scheduled,DSH,
2026-02-02,How to Create a SKill for Cortex Code,1899-12-30,Jacob Prall,,Scheduled,,
2026-02-02,Graph Analytic Agents in Snowflake,1899-12-30,Antti Sirkka,2026-01-27,Scheduled,,
2026-02-03,Snowflake in a Nutshell© : 7 Strategic AI & Semantic Layer tips,1899-12-30,Dan Galavan,2026-01-27,Scheduled,DSH,
2026-02-03,Unified Analytics: How to Federate Snowflake Data into Databricks Unity Catalog,1899-12-30,Vishal Verma,2026-02-03,Scheduled,Internal,
2026-02-03,"Snowflake Cortex Code: What it is, why it mattters, and when to use it",1899-12-30,Daniel Myers,,Scheduled,,
2026-02-03,Snowflake Openflow: A Breakthrough in Enterprise Data Integration,1899-12-30,Rupesh Dandekar,2026-01-28,Scheduled,,
2026-02-04,The Long Game,1899-12-30,Noah Goodrich,2026-01-29,Scheduled,DSH,
2026-02-04,"Snowflake Preview Features: When to Experiment, When to Say ""Absolutely Not""",1899-12-30,Soorya Prakash Parthiban,2026-01-30,Scheduled,,
2026-02-05,How I Built a Snowflake Intelligence App to Chat with Splunk Log Data,1899-12-30,Spencer Theissen-Vang,2026-01-30,Scheduled,Internal,
2026-02-05,Loco for CoCo: Automating Openflow with Ease,1899-12-30,Shyamala Jayabalan,2026-02-03,Scheduled,Internal,
2026-02-06,SKILLs MD for Analytics: How We Made Snowflake Intelligence Agents Reliable for Production,1899-12-30,Oshri M,2026-02-01,Scheduled,Partner,
2026-02-06,Using External Functions to Encrypt and Decrypt Sensitive Data in Snowflake: How Coinbase Architects for Data Anonymization,1899-12-30,Kenneth Yang,2026-02-02,Scheduled,Partner,
2026-02-09,Snowpark for Python: Mastering DataFrame Creation in Snowflake,1899-12-30,Ferhat Aouaghzene,2026-02-02,Scheduled,External,
2026-02-09,The Lethal Trifecta: Why Your AI Agent Could Be a Security Liability,1899-12-30,Michael van Meurer,2026-02-03,Scheduled,Internal,
2026-02-10,"Snowflake-Databricks Interoperability Series: Write Once, Read Many (and the reverse)",1899-12-30,Richie Bachala,2026-02-04,Scheduled,Internal,
2026-02-10,Reading Gmail Attachments or Google Sheets Directly Into Snowflake,1899-12-30,Mauricio Rojas,2026-02-04,Scheduled,,
2026-02-11,Defense in Depth: Building Secure AI Agents,1899-12-30,Michael van Meurer,2026-02-03,Scheduled,Internal,
2026-02-11,My Conference Demo Backup Plan,1899-12-30,Kris Jenkins,2026-02-05,Scheduled,Internal,
2026-02-12,Snowflake OpenFlow: Plug-and-Play Data Integration Without Traditional ETL,1899-12-30,Rupesh Dandekar,2026-01-28,Scheduled,External,
2026-02-12,Bridging the Last Mile: How Coefficient Brings Live Snowflake Data to Your Spreadsheets,1899-12-30,Artem,,Scheduled,,
2026-02-13,Testing and Deploying Responsible & Secure AI Agents,1899-12-30,Michael van Meurer,2026-02-03,Scheduled,Internal,
2026-02-13,Build a Real-Time AWS-to-Snowflake Pipeline in 30 Minutes with Python,1899-12-30,James Sun,,Scheduled,,
2026-02-13,Test Event,1899-12-30,,,,,
2026-03-02,Tentative hold for Sasha/Piotr,1899-12-30,,,,,
2026-03-09,Tentative hold for Sasha/Piotr,1899-12-30,,,,,
2026-03-16,Tentative hold for Sasha/Piotr,1899-12-30,,,,,
2026-03-23,Tentative hold for Sasha/Piotr,1899-12-30,,,,,
2026-03-30,Tentative hold for Sasha/Piotr,1899-12-30,,,,,
,Mastering Data Metric Functions in Snowflake: Governance and Performance at the Service of Data,,Ferhat Aouaghzene,2025-12-03,Pending Feedback,,
,🛠️ Feedback - Whistle Alerts & Snowflake Warehouse Performance,,Pierre-Mickaël Chancrin,2026-01-20,Pending Feedback,External,
,Automated data classification with Snowflake: from nowhere to production,,Radovan Baco,2026-02-02,Pending Feedback,Squad,
,Building a Wildlife Camera Trap Detection with Data and AI - All on Snowflake.,,Ismail Abd Rahim,2026-02-05,Pending Feedback,,
,"Auditing AI Agents in Snowflake, Part 1",,Michael van Meurer,2026-02-06,,Internal,
,"Auditing AI Agents in Snowflake, Part 2",,Michael van Meurer,2026-02-06,,Internal,
,"Auditing AI Agents in Snowflake, Part 3",,Michael van Meurer,2026-02-06,,Internal,
,Mastering Data Metric Functions in Snowflake: Governance and Performance at the Service of Data Part 1,,Ferhat Aouaghzene,,,,
,❄️ SNOWPRO SPECIALTY: GEN AI CERTIFICATION Tutorial (Part 5 - Document AI),,Eylon Steiner,,,,
,Architecting Multi-Agent Workflows with Snowflake Cortex ❄️,,Maseed Ilyas,,,,
,From Self-Service BI to Autonomous Intelligence: Architecting the Next-Generation Data Platform with Snowflake Cortex AI,,Jimish Kadakia,,,,
,Ensuring Reliable Snowflake Platform Releases: Inside the Phased Bundle Rollout Strategy,,Jimish Kadakia,,,,
,Building PII De-identification System for unstructured data in Snowflake,,Anant Damle,,,,
,How Cortex Code and DataOps Automation AI Work Together to Deliver Trusted Data,,DataOps.Live,,,,
